movie_id,title,status,year,revenue,budget,budget to rev ,popularity,Genre,production_countries,Genre (raw)
4555991,Krush Groove,Released,1985,11000000,3000000,3.66666666666667,3.828,Comedy,United States of America,"Comedy, Drama, Music"
4535107,Wake Up Sid,Released,2009,11000000,3000000,3.66666666666667,6.632,Comedy,India,"Comedy, Drama, Romance"
4521419,Angel Has Fallen,Released,2019,146661977,40000000,3.666549425,41.248,Action,United States of America,"Action, Thriller"
4525730,Without a Paddle,Released,2004,69631118,19000000,3.66479568421053,16.045,Comedy,United States of America,"Comedy, Action, Adventure, Thriller"
4523762,The Kite Runner,Released,2007,73276047,20000000,3.66380235,13.307,Drama,"China, United Kingdom, United States of America",Drama
4520675,Ocean's Thirteen,Released,2007,311312624,85000000,3.66250145882353,31.629,Crime,United States of America,"Crime, Thriller"
4533695,The Nun's Story,Released,1959,12800000,3500000,3.65714285714286,13.511,Drama,United States of America,Drama
4520489,The Terminal,Released,2004,219417255,60000000,3.65695425,23.758,Comedy,United States of America,"Comedy, Drama"
4544741,Follow the Fleet,Released,1936,2727000,747000,3.65060240963855,5.117,Comedy,United States of America,"Comedy, Music, Romance"
4522754,Music and Lyrics,Released,2007,145896422,40000000,3.64741055,20.553,Comedy,United States of America,"Comedy, Music, Romance"
4522252,Sixteen Candles,Released,1984,23686027,6500000,3.64400415384615,16.277,Comedy,United States of America,"Comedy, Romance"
4534560,The Last Warrior,Released,2017,30060061,8250000,3.64364375757576,10.805,Fantasy,Russia,"Fantasy, Family, Adventure, Action, Comedy"
4522052,Cliffhanger,Released,1993,255000211,70000000,3.64286015714286,20.88,Action,"France, Italy, Japan, United States of America","Action, Adventure, Thriller"
4523728,Romeo Must Die,Released,2000,91036760,25000000,3.6414704,26.002,Action,United States of America,"Action, Crime, Thriller"
4524944,Invasion,Released,2020,32104054,8819200,3.64024560050798,41.596,Science Fiction,Russia,"Science Fiction, Drama, Action"
4520575,Jack Reacher,Released,2012,218340595,60000000,3.63900991666667,44.484,Crime,United States of America,"Crime, Drama, Thriller, Action"
4601286,Long Long Time Ago,Released,2016,4292000,1180000,3.63728813559322,1.265,Comedy,Singapore,"Comedy, Drama"
4533827,A Soldier's Story,Released,1984,21821347,6000000,3.63689116666667,7.834,Drama,United States of America,"Drama, Mystery, War, Crime"
4571057,Rakshadhikari Baiju (Oppu),Released,2017,2000000,550000,3.63636363636364,1.969,Comedy,India,"Comedy, Drama"
4520619,Nobody,Released,2021,61779301,17000000,3.63407652941176,44.03,Action,United States of America,"Action, Crime, Thriller"
4534894,Torrente 3: The Protector,Released,2005,19888231,5473145,3.63378478004877,12.947,Comedy,Spain,"Comedy, Crime"
4521455,Transporter 3,Released,2008,108979549,30000000,3.63265163333333,25.008,Action,"France, United States of America","Action, Adventure, Thriller, Crime"
4520552,F9,Released,2021,726229501,200000000,3.631147505,48.986,Action,United States of America,"Action, Adventure, Crime"
4522603,Old School,Released,2003,87135520,24000000,3.63064666666667,21.691,Comedy,United States of America,Comedy
4521737,Desperado,Released,1995,25405445,7000000,3.62934928571429,20.504,Thriller,United States of America,"Thriller, Action, Crime"
4527027,New in Town,Released,2009,29010817,8000000,3.626352125,12.64,Comedy,United States of America,"Comedy, Romance"
4520710,Spy,Released,2015,235666219,65000000,3.62563413846154,25.334,Action,United States of America,"Action, Comedy, Crime"
4523120,Harold & Kumar Escape from Guantanamo Bay,Released,2008,43493123,12000000,3.62442691666667,14.959,Comedy,United States of America,"Comedy, Adventure"
4521771,Mad Max Beyond Thunderdome,Released,1985,36230219,10000000,3.6230219,21.614,Action,Australia,"Action, Adventure, Science Fiction"
4537864,Killer of Sheep,Released,1978,362222,100000,3.62222,7.522,Drama,United States of America,Drama
4521215,Planet of the Apes,Released,2001,362211740,100000000,3.6221174,33.651,Thriller,United States of America,"Thriller, Science Fiction, Action, Adventure"
4524069,Sanctum,Released,2011,108609310,30000000,3.62031033333333,15.503,Action,"United States of America, Australia","Action, Thriller"
4524155,A River Runs Through It,Released,1992,43440294,12000000,3.6200245,14.351,Drama,United States of America,"Drama, Family"
4530548,Barbershop 2: Back in Business,Released,2004,65070412,18000000,3.61502288888889,12.179,Comedy,United States of America,"Comedy, Drama"
4522333,Letters from Iwo Jima,Released,2006,68673228,19000000,3.61438042105263,20.303,Action,"Japan, United States of America","Action, Drama, War"
4520150,Eternal Sunshine of the Spotless Mind,Released,2004,72258126,20000000,3.6129063,54.124,Science Fiction,United States of America,"Science Fiction, Drama, Romance"
4522236,City of Angels,Released,1998,198685114,55000000,3.61245661818182,21.841,Romance,"Germany, United States of America","Romance, Drama, Fantasy"
4525091,Bāhubali: The Beginning,Released,2015,90747520,25130430,3.61106117165524,20.925,Action,India,"Action, Adventure, Drama, Fantasy"
4542794,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Released,1953,2616000,724805,3.6092466249543,6.121,Comedy,United States of America,"Comedy, Horror, Science Fiction"
4520953,L.A. Confidential,Released,1997,126216940,35000000,3.60619828571429,22.473,Crime,United States of America,"Crime, Mystery, Thriller"
4523540,The Bye Bye Man,Released,2017,26667197,7400000,3.60367527027027,14.708,Horror,United States of America,"Horror, Thriller"
4521069,The Beach,Released,2000,144056873,40000000,3.601421825,17.58,Drama,"United States of America, United Kingdom","Drama, Adventure, Romance, Thriller"
4567441,Thallumaala,Released,2022,8824658,2450634,3.60096938180079,4.753,Comedy,India,"Comedy, Drama, Action"
4540922,Trapeze,Released,1956,14400000,4000000,3.6,9.731,Drama,United States of America,"Drama, Romance"
4524632,Frenzy,Released,1972,12600000,3500000,3.6,12.411,Crime,United Kingdom,"Crime, Thriller, Horror, Comedy"
4538610,The Cocoanuts,Released,1929,1800000,500000,3.6,6.699,Comedy,United States of America,"Comedy, Music"
4627602,Josh,Released,2009,6909775,1919382,3.59999989579979,2.436,Action,India,"Action, Crime"
4522779,Monster-in-Law,Released,2005,154749918,43000000,3.59883530232558,20.868,Romance,"United States of America, Germany","Romance, Comedy"
4699875,Parwaaz Hai Junoon,Released,2018,3087982,858369,3.59749944371244,2.665,Action,"Australia, Pakistan","Action, Romance, War"
4520994,The Post,Released,2017,179769467,50000000,3.59538934,13.243,Drama,"India, United States of America","Drama, History"
4614391,Ghost Game,Released,2006,71896,20000,3.5948,1.665,Horror,Thailand,"Horror, Mystery, Thriller"
4523304,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Released,2014,100654149,28000000,3.59479103571429,11.475,Family,United States of America,"Family, Comedy"
4520288,Spectre,Released,2015,880674609,245000000,3.59459024081633,33.598,Action,"United Kingdom, United States of America","Action, Adventure, Thriller"
4520780,Kung Fu Panda 3,Released,2016,521170825,145000000,3.59428155172414,45.002,Action,"China, United States of America","Action, Adventure, Animation, Comedy, Family"
4531947,Blue Story,Released,2019,5750000,1600000,3.59375,15.362,Crime,United Kingdom,"Crime, Drama, Romance"
4583656,Our Blushing Brides,Released,1930,1211000,337000,3.59347181008902,3.324,Drama,United States of America,Drama
4523564,Star Trek VI: The Undiscovered Country,Released,1991,96900000,27000000,3.58888888888889,29.826,Science Fiction,United States of America,"Science Fiction, Action, Adventure, Thriller"
4552166,Shaitan,Released,2011,6100000,1700000,3.58823529411765,4.735,Action,India,"Action, Crime, Drama, Thriller"
4834071,Auto Shop of Horrors,Released,2016,4300,1200,3.58333333333333,0.643,Comedy,United States of America,"Comedy, Horror"
4523364,Dead Man Walking,Released,1995,39363635,11000000,3.57851227272727,22.679,Drama,"United States of America, United Kingdom",Drama
4521312,Crank,Released,2006,42931041,12000000,3.57758675,21.324,Action,United States of America,"Action, Thriller, Crime"
4521462,Stargate,Released,1994,196567262,55000000,3.57395021818182,24.078,Action,"France, United States of America","Action, Adventure, Science Fiction"
4558516,A Guilty Conscience,Released,2023,10000000,2800000,3.57142857142857,8.215,Drama,Hong Kong,Drama
4576712,Chinthamani Kolacase,Released,2006,1000000,280000,3.57142857142857,2.845,Action,India,"Action, Crime, Mystery"
4523340,Holes,Released,2003,71406573,20000000,3.57032865,19.508,Adventure,United States of America,"Adventure, Family, Drama, Comedy"
4524921,Chinese Zodiac,Released,2012,171339013,48000000,3.56956277083333,24.516,Action,"China, Hong Kong","Action, Adventure"
4521066,Donnie Brasco,Released,1997,124909762,35000000,3.56885034285714,18.658,Crime,United States of America,"Crime, Drama, Thriller"
4520371,The Bourne Identity,Released,2002,214034224,60000000,3.56723706666667,31.217,Action,"United States of America, Germany, Czech Republic","Action, Drama, Mystery, Thriller"
4520568,Rampage,Released,2018,428028233,120000000,3.56690194166667,109.045,Action,United States of America,"Action, Adventure, Science Fiction"
4535218,Impractical Jokers: The Movie,Released,2020,10700000,3000000,3.56666666666667,7.97,Comedy,United States of America,Comedy
4522918,A Single Man,Released,2009,24964890,7000000,3.56641285714286,17.004,Drama,United States of America,"Drama, Romance"
4524415,The Good Son,Released,1993,60613008,17000000,3.56547105882353,25.649,Thriller,United States of America,"Thriller, Drama"
4540426,Mardaani,Released,2014,7557761,2121476,3.56250129626732,5.813,Action,India,"Action, Crime, Drama, Thriller"
4529240,Silkwood,Released,1983,35600000,10000000,3.56,14.423,Drama,United States of America,"Drama, Thriller"
4522477,Halloween 4: The Return of Michael Myers,Released,1988,17800000,5000000,3.56,23.297,Horror,United States of America,"Horror, Thriller"
4543273,Jawan,Released,2023,128690264,36150000,3.55989665283541,52.487,Action,India,"Action, Adventure, Thriller"
4522334,The Return of the Living Dead,Released,1985,14237880,4000000,3.55947,18.868,Horror,"United Kingdom, United States of America","Horror, Comedy"
4548391,Hardbodies,Released,1984,7100000,1995000,3.55889724310777,8.853,Comedy,United States of America,Comedy
4521490,Johnny English Reborn,Released,2011,160078586,45000000,3.55730191111111,17.636,Crime,United Kingdom,"Crime, Action, Comedy"
4557004,West of Zanzibar,Released,1928,921000,259000,3.55598455598456,2.734,Drama,United States of America,"Drama, Mystery"
4535824,Gamera: Guardian of the Universe,Released,1995,16000000,4500000,3.55555555555556,7.37,Fantasy,Japan,"Fantasy, Science Fiction, Horror"
4564038,Bhoot,Released,2003,9600000,2700000,3.55555555555556,4.42,Horror,India,Horror
4541539,Slumber Party Massacre III,Released,1990,1242995,350000,3.55141428571429,6.016,Horror,United States of America,"Horror, Comedy"
4522718,Fighting with My Family,Released,2019,39055536,11000000,3.55050327272727,23.287,Comedy,"United Kingdom, United States of America",Comedy
4521285,How to Lose a Guy in 10 Days,Released,2003,177502387,50000000,3.55004774,22.124,Comedy,United States of America,"Comedy, Romance"
4521590,The Pacifier,Released,2005,198636868,56000000,3.54708692857143,29.032,Comedy,United States of America,"Comedy, Family, Action"
