Year,Crime,Romance,Fantasy,Drama,Western,Adventure,Comedy,Action,Horror,History,Music,Mystery,Animation,Thriller,War,Family,Science Fiction,Documentary,TV Movie
1973,2,0,0,5,2,3,6,7,1,0,0,1,2,1,0,0,0,0,0
1974,6,0,1,7,1,1,3,4,2,0,0,0,0,0,0,0,0,0,0
1975,5,0,0,8,0,2,10,5,3,0,1,1,0,2,0,0,0,0,0
1976,4,0,0,6,1,3,8,4,3,0,0,0,0,3,0,1,0,4,0
1977,0,0,1,7,0,4,2,7,4,0,1,2,3,1,0,0,1,0,0
1978,0,1,1,10,0,3,5,5,8,0,0,1,0,1,0,1,2,0,0
1979,0,2,0,15,0,4,8,9,3,0,1,0,0,0,0,2,3,1,0
1980,3,1,2,10,1,4,10,6,9,0,2,0,0,2,2,0,3,0,0
1981,5,1,1,11,0,9,12,7,13,1,0,0,1,1,2,2,3,0,0
1982,0,1,2,13,0,3,17,5,11,1,2,0,0,2,0,1,6,1,0
1983,3,4,1,14,0,4,16,7,9,0,1,0,1,4,0,1,1,0,0
1984,4,1,1,20,0,7,20,13,7,1,3,0,0,3,0,0,5,1,0
1985,1,0,1,10,2,13,26,16,6,2,0,0,2,2,0,3,2,0,0
1986,5,3,2,14,0,10,30,14,10,0,0,0,3,1,1,3,4,0,0
1987,5,2,1,22,0,6,28,18,10,0,0,1,1,2,0,3,2,0,0
1988,3,4,8,19,1,4,30,15,15,0,0,0,5,3,0,3,2,1,0
1989,5,3,2,18,0,11,29,15,9,0,0,0,2,3,2,0,2,1,0
1990,6,0,3,13,1,7,26,16,10,0,1,2,1,4,0,0,4,0,0
1991,8,4,5,27,0,3,31,23,5,1,1,3,0,3,0,0,5,1,0
1992,12,2,1,22,1,5,20,14,5,1,2,2,3,7,0,4,4,0,0
1993,8,5,5,36,2,8,23,22,6,1,3,2,3,4,0,6,4,0,0
1994,5,4,6,16,1,6,30,20,3,1,0,1,2,4,0,6,1,1,0
1995,8,5,5,29,1,6,24,29,7,0,1,1,3,10,1,4,4,1,0
1996,11,5,5,31,0,6,43,18,7,1,2,1,2,3,1,6,5,1,1
1997,14,1,1,43,0,13,34,25,8,0,0,1,3,8,2,2,5,0,0
1998,5,12,4,32,0,11,51,23,7,0,2,6,6,4,1,3,6,1,0
1999,8,9,6,48,1,12,47,22,16,0,2,4,7,10,0,4,2,2,0
2000,13,9,4,45,0,11,36,22,8,1,0,5,7,8,2,8,4,1,0
2001,8,4,3,42,1,16,45,39,13,0,1,4,7,9,1,2,3,2,0
2002,16,8,4,55,0,11,50,32,12,0,1,2,5,17,2,3,3,3,0
2003,13,3,5,41,1,16,50,40,15,0,2,3,6,9,3,5,1,4,0
2004,6,7,5,60,1,13,68,35,14,1,4,5,10,10,4,5,3,6,0
2005,12,7,6,72,0,15,65,33,14,2,1,4,3,11,2,8,4,2,0
2006,10,6,12,80,1,19,71,38,23,0,3,1,11,4,2,5,4,5,0
2007,26,3,11,73,1,21,71,40,23,2,2,2,9,13,2,10,5,5,0
2008,3,7,6,97,0,20,66,40,19,2,2,1,11,6,2,6,5,4,0
2009,14,8,5,81,0,23,84,44,20,2,4,4,12,14,1,2,9,3,0
2010,18,13,8,90,0,16,79,49,15,1,5,3,9,8,5,9,5,8,0
2011,8,4,4,92,0,22,72,51,17,2,4,3,14,19,2,3,2,6,0
2012,10,7,5,66,1,15,63,57,22,3,4,2,13,21,1,6,5,7,0
2013,11,16,11,84,0,13,68,51,25,2,4,1,18,18,2,1,11,7,0
2014,15,15,5,83,1,9,63,49,18,3,3,3,17,28,5,7,8,1,0
2015,11,18,8,89,3,14,62,49,18,3,2,1,9,22,2,4,7,5,0
2016,8,16,5,90,2,23,59,82,18,5,1,5,10,23,4,9,2,10,0
2017,10,14,6,93,3,17,61,74,19,3,2,5,12,10,8,10,9,9,0
2018,17,8,8,63,0,17,47,76,22,3,5,4,13,19,5,6,12,2,0
2019,8,10,5,58,2,10,43,40,20,5,2,1,8,13,5,12,8,8,0
2020,3,4,1,15,0,3,30,18,14,1,4,0,9,6,3,5,4,2,0
2021,9,3,4,39,0,3,12,33,12,2,1,6,11,6,1,6,8,3,0
2022,6,2,4,29,0,1,19,31,21,0,1,4,12,10,3,4,7,1,0
2023,2,3,2,13,0,3,19,22,13,0,0,4,11,6,1,1,3,2,0
